textname,urlname,urllinkedin,textlinkedin,textType,textDescription
https://www.altitudelsv.com/,https://www.altitudelsv.com/,https://www.linkedin.com/company/altitude-life-science-ventures/,https://www.linkedin.com/company/altitude-life-science-ventures/,Venture Capital,
https://www.avgfunds.com/,https://www.avgfunds.com/,https://www.linkedin.com/company/avgfunds/,https://www.linkedin.com/company/avgfunds/,Venture Capital,
https://www.angelmd.co/en/,https://www.angelmd.co/en/,https://www.linkedin.com/company/angelmd/about/,https://www.linkedin.com/company/angelmd/about/,Venture Capital,
https://www.archventure.com/,https://www.archventure.com/,https://www.linkedin.com/company/arch-venture-partners/about/,https://www.linkedin.com/company/arch-venture-partners/about/,Venture Capital,
https://www.bvp.com/,https://www.bvp.com/,https://www.linkedin.com/company/bessemer-venture-partners/,https://www.linkedin.com/company/bessemer-venture-partners/,Venture Capital,
https://biomaticscapital.com/,https://biomaticscapital.com/,,,Venture Capital,
https://capitalg.com/,https://capitalg.com/,https://www.linkedin.com/company/capitalg/?originalSubdomain=de,https://www.linkedin.com/company/capitalg/?originalSubdomain=de,Venture Capital,
www.cascadiacapital.com,www.cascadiacapital.com,https://www.linkedin.com/company/cascadia-capital/,https://www.linkedin.com/company/cascadia-capital/,Venture Capital,
http://cronusventures.com/,http://cronusventures.com/,,,Venture Capital,
https://www.crosscreek.vc/,https://www.crosscreek.vc/,https://www.linkedin.com/company/cross-creek-advisors-llc/,https://www.linkedin.com/company/cross-creek-advisors-llc/,Venture Capital,
http://divergent.com,http://divergent.com,https://www.linkedin.com/company/divergent-ventures/,https://www.linkedin.com/company/divergent-ventures/,Venture Capital,
https://www.echohealthventures.com/,https://www.echohealthventures.com/,https://www.linkedin.com/company/echo-health-ventures/,https://www.linkedin.com/company/echo-health-ventures/,Venture Capital,
http://elevate.vc/,http://elevate.vc/,,,Venture Capital,
http://www.flukeventures.com,http://www.flukeventures.com,,,Venture Capital,
